campaign_name,ad_name,ad_set_name,Amount_Spent,Results,Impressions,Link_Clicks,Cost_per_Results,CPM,CPC,Link_Clicks_to_Results_Ratio
ldn|02.04|mid|rtg|quote|all-warm,elec|ifd-stor-rl|img|purple_cta_bulb,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,107.71,11.0,12117,74.0,9.791818181818181,8.88916398448461,1.4555405405405404,672.7272727272727
ldn|02.04|mid|rtg|quote|all-warm,gen|ifd-stor-rl|vid|introvideo,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,0.78,0.0,51,0.0,,15.294117647058824,,
ldn|02.04|mid|rtg|quote|all-warm,heat|ifd-stor-rl|img|cta_fixingheating,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,6.819999999999999,0.0,785,3.0,,8.687898089171973,2.273333333333333,
ldn|02.04|mid|rtg|quote|all-warm,plum||ifd-stor-rl|img|sitting,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,116.03,11.0,13657,79.0,10.548181818181819,8.496009372482975,1.4687341772151898,718.1818181818181
