level,campaign_name,Amount_Spent,Results,Impressions,Link_Clicks,Cost_per_Results,CPM,CPC,Link_Clicks_to_Results_Ratio,ad_set_name,ad_name
===== CAMPAIGN LEVEL PERFORMANCE =====,,,,,,,,,,,
Campaign,ldn|02.04|mid|rtg|quote|all-warm,105.72,16.0,12237,79.0,6.6075,8.6393723951949,1.3382278481012657,493.75,,
===== AD SET LEVEL PERFORMANCE =====,,,,,,,,,,,
Ad Set,ldn|02.04|mid|rtg|quote|all-warm,105.72,16.0,12237,79.0,6.6075,8.6393723951949,1.3382278481012657,493.75,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,
===== AD LEVEL PERFORMANCE =====,,,,,,,,,,,
Ad,ldn|02.04|mid|rtg|quote|all-warm,9.38,6.0,950,12.0,1.5633333333333335,9.873684210526315,0.7816666666666667,200.0,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,elec|ifd-stor-rl|img|purple_cta_bulb
Ad,ldn|02.04|mid|rtg|quote|all-warm,96.34,10.0,11287,67.0,9.634,8.53548329937096,1.4379104477611941,670.0,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,plum||ifd-stor-rl|img|sitting
