level,campaign_name,Amount_Spent,Results,Impressions,Link_Clicks,Cost_per_Results,CPM,CPC,Link_Clicks_to_Results_Ratio,ad_set_name,ad_name
===== CAMPAIGN LEVEL PERFORMANCE =====,,,,,,,,,,,
Campaign,ldn|02.04|mid|rtg|quote|all-warm,200.68,22.0,22892,142.0,9.121818181818183,8.766381268565437,1.4132394366197183,645.4545454545454,,
===== AD SET LEVEL PERFORMANCE =====,,,,,,,,,,,
Ad Set,ldn|02.04|mid|rtg|quote|all-warm,200.68,22.0,22892,142.0,9.121818181818183,8.766381268565437,1.4132394366197183,645.4545454545454,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,
===== AD LEVEL PERFORMANCE =====,,,,,,,,,,,
Ad,ldn|02.04|mid|rtg|quote|all-warm,98.61,11.0,10984,70.0,8.964545454545455,8.97760378732702,1.4087142857142858,636.3636363636364,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,elec|ifd-stor-rl|img|purple_cta_bulb
Ad,ldn|02.04|mid|rtg|quote|all-warm,102.07,11.0,11908,72.0,9.27909090909091,8.571548538797446,1.417638888888889,654.5454545454546,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,plum||ifd-stor-rl|img|sitting
