campaign_name,ad_name,ad_set_name,Amount_Spent,Results,Impressions,Link_Clicks,Cost_per_Results,CPM,CPC,Link_Clicks_to_Results_Ratio
ldn|02.04|mid|rtg|quote|all-warm,elec|ifd-stor-rl|img|purple_cta_bulb,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,114.73,14.0,12828,84.0,8.195,8.9437168693483,1.3658333333333335,600.0
ldn|02.04|mid|rtg|quote|all-warm,gen|ifd-stor-rl|vid|introvideo,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,0.52,0.0,37,0.0,,14.054054054054054,,
ldn|02.04|mid|rtg|quote|all-warm,heat|ifd-stor-rl|img|cta_fixingheating,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,5.27,0.0,615,2.0,,8.56910569105691,2.635,
ldn|02.04|mid|rtg|quote|all-warm,plum||ifd-stor-rl|img|sitting,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,48.010000000000005,5.0,5688,20.0,9.602,8.44057665260197,2.4005,400.0
ldn|02.04|mid|rtg|quote|all-warm,ugc|ifd-stor-rl|vid|clip2,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,59.96,3.0,4621,39.0,19.986666666666668,12.975546418524129,1.5374358974358975,1300.0
