"Campaign name","Ad set name","Ad name",Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result Type",Results,"Amount spent (GBP)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Reporting starts","Reporting ends"
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,25-34,active,ad,792,1539,1.94318182,"7-day click or 1-day view",quoteReceived,2,10.86031185,5.43015593,2024-05-09,2025-04-30,4,2.71507796,7.05673285,0.84470435,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,25-34,inactive,ad,1301,1514,1.16372022,"7-day click or 1-day view",,,12.03,,2024-05-09,2025-04-30,3,4.01,7.94583884,0.72655218,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,35-44,inactive,ad,995,1191,1.19698492,"7-day click or 1-day view",,,13.49,,2024-05-09,2025-04-30,5,2.698,11.32661629,1.25944584,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,35-44,active,ad,528,1144,2.16666667,"7-day click or 1-day view",quoteReceived,1,10.54030266,10.54030266,2024-05-09,2025-04-30,5,2.10806053,9.21355128,1.57342657,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,18-24,not_delivering,ad,694,1045,1.50576369,"7-day click or 1-day view",quoteReceived,1,5.64,5.64,2025-03-02,Ongoing,2,2.82,5.39712919,1.05263158,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,35-44,active,ad,745,957,1.28456376,"7-day click or 1-day view",,,11.82,,2024-05-09,2025-04-30,4,2.955,12.35109718,0.62695925,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,18-24,not_delivering,ad,626,931,1.48722045,"7-day click or 1-day view",quoteReceived,1,4.81953026,4.81953026,2025-03-02,Ongoing,3,1.60651009,5.17672423,1.07411386,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,25-34,active,ad,312,909,2.91346154,"7-day click or 1-day view",,,5.93017028,,2024-05-09,2025-04-30,3,1.97672343,6.5238397,1.21012101,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,45-54,active,ad,360,847,2.35277778,"7-day click or 1-day view",quoteReceived,1,11.34032564,11.34032564,2024-05-09,2025-04-30,4,2.83508141,13.38881421,0.82644628,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",GEN|IFD-STOR-RL|IMG|greentextonly,female,35-44,inactive,ad,673,826,1.22734027,"7-day click or 1-day view",,,8.61,,2025-03-02,Ongoing,5,1.722,10.42372881,1.69491525,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",GEN|IFD-STOR-RL|IMG|greentextonly,female,25-34,inactive,ad,668,816,1.22155689,"7-day click or 1-day view",,,6.58,,2025-03-02,Ongoing,11,0.59818182,8.06372549,2.57352941,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,25-34,not_delivering,ad,396,596,1.50505051,"7-day click or 1-day view",,,4.72,,2025-03-02,Ongoing,6,0.78666667,7.91946309,1.84563758,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,female,25-34,inactive,ad,451,546,1.21064302,"7-day click or 1-day view",,,4.58,,2024-05-09,2025-04-30,2,2.29,8.38827839,0.54945055,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,35-44,active,ad,212,542,2.55660377,"7-day click or 1-day view",quoteReceived,3,6.63019039,2.21006346,2024-05-09,2025-04-30,1,6.63019039,12.23282359,1.47601476,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,25-34,not_delivering,ad,324,455,1.40432099,"7-day click or 1-day view",,,3.30967742,,2025-03-02,Ongoing,1,3.30967742,7.27401631,1.53846154,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",UGC|IFD-STOR-RL|VID|Clip1,male,25-34,inactive,ad,333,449,1.34834835,"7-day click or 1-day view",,,5.05,,2025-03-02,Ongoing,4,1.2625,11.24721604,2.44988864,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,25-34,not_delivering,ad,236,387,1.63983051,"7-day click or 1-day view",,,2.50975538,,2025-03-02,Ongoing,,,6.48515603,0.51679587,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,35-44,not_delivering,ad,254,384,1.51181102,"7-day click or 1-day view",,,3.44,,2025-03-02,Ongoing,2,1.72,8.95833333,1.04166667,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,female,35-44,inactive,ad,308,376,1.22077922,"7-day click or 1-day view",,,3.86,,2024-05-09,2025-04-30,1,3.86,10.26595745,1.06382979,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,18-24,active,ad,278,350,1.25899281,"7-day click or 1-day view",,,2.08,,2024-05-09,2025-04-30,,,5.94285714,0.85714286,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,18-24,active,ad,192,342,1.78125,"7-day click or 1-day view",,,1.69004853,,2024-05-09,2025-04-30,3,0.56334951,4.94166237,1.4619883,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",PLUM||IFD-STOR-RL|IMG|sitting,female,18-24,inactive,ad,245,334,1.36326531,"7-day click or 1-day view",,,1.67,,2025-03-02,Ongoing,1,1.67,5,0.89820359,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,25-34,active,ad,229,329,1.43668122,"7-day click or 1-day view",,,2.3,,2024-05-09,2025-04-30,4,0.575,6.99088146,1.82370821,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,25-34,not_delivering,ad,184,296,1.60869565,"7-day click or 1-day view",,,1.79,,2025-03-02,Ongoing,,,6.0472973,0.67567568,2025-03-01,2025-03-31
