Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,25-34,active,ad,119,179,1.50420168,7-day click or 1-day view,,,1.41,,09/05/2024,30/04/2025,,,7.87709497,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,unknown,25-34,inactive,ad,112,176,1.57142857,7-day click or 1-day view,,,2.17972752,,09/05/2024,30/04/2025,2,1.08986376,12.38481544,3.40909091,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,female,18-24,inactive,ad,132,175,1.32575758,7-day click or 1-day view,,,1.34,,09/05/2024,30/04/2025,2,0.67,7.65714286,2.28571429,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,unknown,35-44,inactive,ad,116,166,1.43103448,7-day click or 1-day view,,,2.33873094,,09/05/2024,30/04/2025,2,1.16936547,14.08874062,1.80722892,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,25-34,active,ad,143,162,1.13286713,7-day click or 1-day view,,,2.49,,09/05/2024,30/04/2025,2,1.245,15.37037037,1.2345679,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,18-24,active,ad,130,160,1.23076923,7-day click or 1-day view,,,1.1,,09/05/2024,30/04/2025,,,6.875,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,45-54,active,ad,97,148,1.5257732,7-day click or 1-day view,,,1.75,,09/05/2024,30/04/2025,,,11.82432432,0.67567568,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,unknown,25-34,inactive,ad,98,141,1.43877551,7-day click or 1-day view,,,1.07,,09/05/2024,30/04/2025,,,7.58865248,1.41843972,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,18-24,inactive,ad,72,139,1.93055556,7-day click or 1-day view,,,0.8199105,,09/05/2024,30/04/2025,,,5.89863669,1.43884892,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,unknown,35-44,inactive,ad,86,131,1.52325581,7-day click or 1-day view,,,2.54968127,,09/05/2024,30/04/2025,3,0.84989376,19.4632158,2.29007634,01/02/2025,28/02/2025
