Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,25-34,unknown,active,ad,624,1296,2.07692308,7-day click or 1-day view,,,8.59,,2024-05-09,2025-04-30,2024-04-01,2025-04-08
02.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [Old version of conv type],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,TH_ABO_retargeting_warm Audience_Conversion-based Objective_July Ad2,35-44,female,not_delivering,ad,1130,1254,1.10973451,7-day click or 1-day view,,,8.58,,2023-04-13,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,18-24,male,not_delivering,ad,624,728,1.16666667,7-day click or 1-day view,,,8.57,,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesS,55-64,female,inactive,ad,372,381,1.02419355,7-day click or 1-day view,,,8.41,,2024-05-09,2024-10-31,2024-04-01,2025-04-08
MH* 07.00 | TH | Southwark (Feed),04.08 | Nunhead,Hyperlocal Grid Posts Design 3 |  Plumber,25-34,female,not_delivering,ad,541,1088,2.01109057,7-day click or 1-day view,,,8.36,,2024-04-05,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,35-44,female,not_delivering,ad,631,721,1.14263074,7-day click or 1-day view,quoteReceived,1,8.35,8.35,2024-05-09,2024-10-31,2024-04-01,2025-04-08
02.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [Old version of conv type],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,TH_ABO_retargeting_warm Audience_Conversion-based Objective_July Ad2,25-34,female,not_delivering,ad,1329,1525,1.14747931,7-day click or 1-day view,,,8.29,,2023-04-13,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|green_bulb,18-24,female,not_delivering,ad,548,1144,2.08759124,7-day click or 1-day view,quoteReceived,2,8.28,4.14,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-PLUM|IFD-STOR-RL|IMG|purple_sink,35-44,female,inactive,ad,1203,1485,1.23441397,7-day click or 1-day view,,,8.28,,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|Christmas,35-44,unknown,inactive,ad,380,701,1.84473684,7-day click or 1-day view,,,8.27,,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-BOIL|IFD-STOR-RL|IMG|green_cta_boiler,25-34,female,not_delivering,ad,979,1132,1.15628192,7-day click or 1-day view,,,8.25,,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,45-54,female,inactive,ad,246,462,1.87804878,7-day click or 1-day view,quoteReceived,1,8.21,8.21,2024-05-09,2025-04-30,2024-04-01,2025-04-08
MH* 07.00 | TH | Southwark (Feed),04.10 | Dulwich Village,Hyperlocal Grid Posts Design 3 |  Plumber,35-44,female,not_delivering,ad,603,883,1.46434494,7-day click or 1-day view,,,8.21,,2024-04-05,Ongoing,2024-04-01,2025-04-08
03.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [NEW],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,Attributes creative image 3,25-34,female,not_delivering,ad,1062,1245,1.17231638,7-day click or 1-day view,,,8.17,,2024-03-19,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|Christmas,35-44,female,not_delivering,ad,596,696,1.16778523,7-day click or 1-day view,,,8.12,,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,25-34,male,not_delivering,ad,928,981,1.05711207,7-day click or 1-day view,quoteReceived,1,8.12,8.12,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-GAS|IFD-STOR-RL|IMG|Christmas,25-34,female,not_delivering,ad,553,762,1.37793852,7-day click or 1-day view,,,8.11,,2024-07-01,2024-12-22,2024-04-01,2025-04-08
