Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Reporting starts,Reporting ends
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,25-34,female,inactive,ad,46370,83136,1.79288333,7-day click or 1-day view,quoteReceived,39,618.69,15.86,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,25-34,female,not_delivering,ad,48362,87271,1.80453662,7-day click or 1-day view,quoteReceived,38,548.71,14.44,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,35-44,female,inactive,ad,24961,42207,1.69091783,7-day click or 1-day view,quoteReceived,18,402.15,22.34,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,25-34,female,not_delivering,ad,38045,74399,1.95555264,7-day click or 1-day view,actions:visit_instagram_profile,3599,398.62,0.11,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,25-34,female,inactive,ad,9102,31349,3.44418809,7-day click or 1-day view,quoteReceived,36,347.45,9.65,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,18-24,female,not_delivering,ad,32701,72778,2.22555885,7-day click or 1-day view,actions:visit_instagram_profile,3100,335.49,0.11,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,35-44,female,inactive,ad,6695,21721,3.24436146,7-day click or 1-day view,quoteReceived,45,331.08,7.36,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,35-44,female,inactive,ad,6782,24497,3.61206134,7-day click or 1-day view,quoteReceived,16,315.56,19.72,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|green_cta,35-44,female,inactive,ad,9066,31928,3.52172954,7-day click or 1-day view,quoteReceived,24,310.92,12.96,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,35-44,female,not_delivering,ad,23261,39234,1.68668587,7-day click or 1-day view,quoteReceived,24,284.18,11.84,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,25-34,female,not_delivering,ad,16691,25296,1.5155473,7-day click or 1-day view,quoteReceived,21,272.86,12.99,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|green_cta,25-34,female,inactive,ad,10723,36671,3.41984519,7-day click or 1-day view,quoteReceived,15,264.98,17.67,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,35-44,female,not_delivering,ad,10850,17150,1.58064516,7-day click or 1-day view,quoteReceived,25,247.90,9.92,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,35-44,female,active,ad,10049,22872,2.27604737,7-day click or 1-day view,quoteReceived,11,236.05,21.46,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesH,25-34,female,inactive,ad,9367,22825,2.43674602,7-day click or 1-day view,quoteReceived,27,231.37,8.57,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,25-34,female,inactive,ad,6385,19827,3.10524667,7-day click or 1-day view,quoteReceived,16,208.19,13.01,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,25-34,female,active,ad,11497,25960,2.25798034,7-day click or 1-day view,quoteReceived,19,194.36,10.23,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|green_bulb,35-44,female,not_delivering,ad,5516,14698,2.66461204,7-day click or 1-day view,quoteReceived,9,173.21,19.25,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,45-54,female,inactive,ad,5336,8218,1.54010495,7-day click or 1-day view,Meta leads,61,171.60,2.81,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesH,35-44,female,inactive,ad,4376,10649,2.43350091,7-day click or 1-day view,quoteReceived,6,170.12,28.35,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,35-44,female,inactive,ad,4698,11280,2.40102171,7-day click or 1-day view,quoteReceived,14,169.80,12.13,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,35-44,female,inactive,ad,7176,10916,1.52118172,7-day click or 1-day view,Meta leads,73,167.39,2.29,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|green_bulb,25-34,female,not_delivering,ad,6952,17232,2.47871116,7-day click or 1-day view,quoteReceived,10,151.01,15.10,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,45-54,female,inactive,ad,8224,12208,1.4844358,7-day click or 1-day view,quoteReceived,6,143.67,23.94,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,25-34,female,inactive,ad,6485,16533,2.54942174,7-day click or 1-day view,quoteReceived,14,142.34,10.17,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|green_cta,45-54,female,inactive,ad,3393,11045,3.25523136,7-day click or 1-day view,quoteReceived,13,141.99,10.92,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-PLUM|IFD-STOR-RL|IMG|purple_sink,25-34,female,not_delivering,ad,11453,16887,1.47446084,7-day click or 1-day view,quoteReceived,10,140.68,14.07,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,25-34,female,inactive,ad,5418,12224,2.25618309,7-day click or 1-day view,quoteReceived,13,139.37,10.72,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,25-34,male,not_delivering,ad,13407,22714,1.6941896,7-day click or 1-day view,actions:visit_instagram_profile,1160,138.23,0.12,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,35-44,female,inactive,ad,5000,12725,2.545,7-day click or 1-day view,quoteReceived,6,132.36,22.06,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,45-54,female,inactive,ad,2705,8188,3.02698706,7-day click or 1-day view,quoteReceived,14,128.72,9.19,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,25-34,female,inactive,ad,8088,12336,1.52522255,7-day click or 1-day view,Meta leads,47,125.68,2.67,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,45-54,female,not_delivering,ad,4401,6294,1.43012952,7-day click or 1-day view,quoteReceived,8,121.69,15.21,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,35-44,female,inactive,ad,4414,10162,2.30222021,7-day click or 1-day view,quoteReceived,9,120.97,13.44,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,45-54,female,inactive,ad,2400,6126,2.5525,7-day click or 1-day view,quoteReceived,10,119.73,11.97,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,25-34,female,not_delivering,ad,13006,31859,2.44956174,7-day click or 1-day view,Link clicks,264,115.50,0.44,2024-12-17,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,18-24,female,inactive,ad,10689,19518,1.82598933,7-day click or 1-day view,quoteReceived,2,106.94,53.47,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-PLUM|IFD-STOR-RL|IMG|purple_sink,35-44,female,not_delivering,ad,7918,10816,1.36600152,7-day click or 1-day view,quoteReceived,12,105.89,8.82,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|Interest|VariousTrades|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,25-34,female,not_delivering,ad,14669,18960,1.29252164,7-day click or 1-day view,actions:visit_instagram_profile,938,105.22,0.11,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,55-64,female,inactive,ad,2744,4249,1.54846939,7-day click or 1-day view,Meta leads,41,99.82,2.43,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,25-34,female,inactive,ad,4494,10038,2.23364486,7-day click or 1-day view,quoteReceived,5,98.25,19.65,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,18-24,male,not_delivering,ad,9247,18283,1.97718179,7-day click or 1-day view,actions:visit_instagram_profile,817,96.17,0.12,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,25-34,female,inactive,ad,6327,8210,1.2976134,7-day click or 1-day view,quoteReceived,3,94.30,31.43,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-PLUM|IFD-STOR-RL|IMG|green_cta_tap,25-34,female,inactive,ad,10852,13681,1.26068927,7-day click or 1-day view,quoteReceived,2,94.02,47.01,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,35-44,female,inactive,ad,4672,6076,1.3005137,7-day click or 1-day view,quoteReceived,4,93.91,23.48,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,25-34,female,active,ad,5730,11747,2.05008726,7-day click or 1-day view,quoteReceived,11,93.25,8.48,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-PLUM|IFD-STOR-RL|IMG|green_cta_tap,25-34,female,not_delivering,ad,12180,15557,1.2772578,7-day click or 1-day view,quoteReceived,10,92.74,9.27,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,25-34,female,inactive,ad,7218,15558,2.15544472,7-day click or 1-day view,quoteReceived,6,90.98,15.16,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,35-44,female,active,ad,4427,8944,2.02032979,7-day click or 1-day view,quoteReceived,7,90.98,13.00,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,25-34,male,not_delivering,ad,10094,25618,2.53794333,7-day click or 1-day view,Link clicks,195,90.68,0.47,2024-12-17,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|green_bulb,45-54,female,not_delivering,ad,2324,6444,2.77280551,7-day click or 1-day view,quoteReceived,13,88.88,6.84,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,35-44,female,inactive,ad,4362,8515,1.9520862,7-day click or 1-day view,quoteReceived,10,88.64,8.86,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,25-34,female,inactive,ad,5510,10657,1.93411978,7-day click or 1-day view,quoteReceived,8,87.23,10.90,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,35-44,female,inactive,ad,4082,7659,1.87628613,7-day click or 1-day view,quoteReceived,7,87.16,12.45,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,45-54,female,not_delivering,ad,6143,9564,1.55689403,7-day click or 1-day view,quoteReceived,5,80.50,16.10,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesS,25-34,female,inactive,ad,6836,8131,1.18943827,7-day click or 1-day view,quoteReceived,2,79.55,39.77,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,18-24,female,not_delivering,ad,9982,24534,2.45782408,7-day click or 1-day view,Link clicks,180,77.93,0.43,2024-12-17,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,18-24,female,not_delivering,ad,9135,15532,1.70027367,7-day click or 1-day view,quoteReceived,3,77.55,25.85,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,35-44,female,inactive,ad,2801,5313,1.89682256,7-day click or 1-day view,quoteReceived,4,77.46,19.37,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,55-64,female,inactive,ad,3488,5517,1.58170872,7-day click or 1-day view,quoteReceived,5,76.79,15.36,2024-05-09,2024-12-22,2024-04-01,2025-04-08
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,18-24,male,not_delivering,ad,9918,25148,2.53559185,7-day click or 1-day view,Link clicks,172,76.17,0.44,2024-12-17,Ongoing,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,25-34,female,inactive,ad,4618,8573,1.85643136,7-day click or 1-day view,quoteReceived,9,75.71,8.41,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-PLUM|IFD-STOR-RL|IMG|green_cta_tap,35-44,female,inactive,ad,6678,9242,1.38394729,7-day click or 1-day view,quoteReceived,1,73.95,73.95,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,55-64,female,not_delivering,ad,2384,3123,1.30998322,7-day click or 1-day view,quoteReceived,8,73.27,9.16,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LDN|01.11|MID|TFK|CLICKS|ALL - WEBV,LDN|ALL|18-55|BROAD|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,18-24,female,not_delivering,ad,7537,11427,1.51612047,7-day click or 1-day view,Link clicks,662,70.00,0.11,2024-11-07,2024-12-22,2024-04-01,2025-04-08
LDN|01.11|MID|TFK|CLICKS|ALL - WEBV,LDN|ALL|18-55|BROAD|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,25-34,male,not_delivering,ad,5880,7927,1.34812925,7-day click or 1-day view,Link clicks,729,69.77,0.10,2024-11-07,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,25-34,male,not_delivering,ad,4033,5354,1.32754773,7-day click or 1-day view,quoteReceived,6,68.48,11.41,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,35-44,female,inactive,ad,4385,9197,2.09737742,7-day click or 1-day view,quoteReceived,5,68.32,13.66,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,35-44,male,not_delivering,ad,3185,4266,1.33940345,7-day click or 1-day view,quoteReceived,15,67.93,4.53,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|Interest|VariousTrades|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,18-24,female,not_delivering,ad,11244,15392,1.36890786,7-day click or 1-day view,actions:visit_instagram_profile,652,67.67,0.10,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesH,45-54,female,inactive,ad,1600,3151,1.969375,7-day click or 1-day view,quoteReceived,3,66.21,22.07,2024-07-01,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,45-54,female,inactive,ad,1549,3591,2.31826985,7-day click or 1-day view,quoteReceived,2,65.88,32.94,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,35-44,female,active,ad,1996,4328,2.16833667,7-day click or 1-day view,quoteReceived,10,65.79,6.58,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,35-44,female,not_delivering,ad,6464,10255,1.58647896,7-day click or 1-day view,actions:visit_instagram_profile,578,65.62,0.11,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LDN|01.11|MID|TFK|CLICKS|ALL - WEBV,LDN|ALL|18-55|BROAD|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,18-24,male,not_delivering,ad,5440,8931,1.64172794,7-day click or 1-day view,Link clicks,679,63.18,0.09,2024-11-07,2024-12-22,2024-04-01,2025-04-08
LDN|01.11|MID|TFK|CLICKS|ALL - WEBV,LDN|ALL|18-55|BROAD|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,25-34,female,not_delivering,ad,5768,7919,1.37291956,7-day click or 1-day view,Link clicks,585,61.83,0.11,2024-11-07,2024-12-22,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,25-34,female,inactive,ad,2879,5376,1.86731504,7-day click or 1-day view,quoteReceived,6,60.49,10.08,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesS,35-44,female,inactive,ad,3860,4556,1.18031088,7-day click or 1-day view,quoteReceived,5,60.21,12.04,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesI,25-34,female,inactive,ad,5183,6035,1.16438356,7-day click or 1-day view,quoteReceived,5,58.27,11.65,2024-05-09,2024-12-22,2024-04-01,2025-04-08
