Campaign name,Ad set name,Ad name,Amount spent (GBP),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Purchases,Cost per purchase,Purchases conversion value,Purchase ROAS (return on ad spend),Adds to cart,Reporting starts,Reporting ends
SW | Collection Sales | UK | CPR Cap 25  | June 24,A+ ENG LAL 1-3%,Dynamic Collection - Video Hero – Copy,22.48,2760,8.14492754,74,0.30378378,2.68115942,,,,,4,2024-01-01,2024-12-31
PN | T/M/BOF - US,ENG LAL STACK 5%,VID - THERE WOULD BE SIGNS - V5 - 372744798874007 – Copy,21.51,2613,8.23191734,33,0.65181818,1.26291619,,,,,4,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS  Campaign - US CAMPAIGN Campaign,PN | ADVANTAGE PLUS  Campaign - US CAMPAIGN Ad Set,VID - IT'S MONTHLY ME TIME - V2 - 365088586306295,21.45,2794,7.67716535,32,0.6703125,1.14531138,1,21.45,48.13,2.24382284,2,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,PURCH LAL 1-5%,POST - LINGERIE ON ITS OWN ISNT ENOUGH - V4 - 414320178049802 – Copy,21.21,3882,5.46367852,40,0.53025,1.0303967,6,3.535,315.7,14.88448845,6,2024-01-01,2024-12-31
PN | T/M/BOF - US,BROAD - FEMALE 18 - 45,VID - ASMR UNBOXING - 370017892480031 – Copy,20.86,2884,7.23300971,25,0.8344,0.8668516,2,10.43,69.8,3.34611697,9,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL Purchases | CPR Cap 25,Dynamic Collection - Video Hero,20.68,2965,6.97470489,27,0.76592593,0.91062395,,,,,1,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Interest: Lingerie & Stores,Carousel - Dynamic – Copy,20.62,3784,5.44926004,50,0.4124,1.32135307,1,20.62,31.45,1.52521823,1,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,BROAD - FEMALE - 18-45,CAROUSEL 1 - V4 – Copy,20.62,5676,3.63284003,37,0.5572973,0.65186751,1,20.62,40.14,1.94665373,8,2024-01-01,2024-12-31
PN | CBO UK | £50,INT STACK: BEAUTY – Copy,IMG COLL - V1 – Copy,20.45,3847,5.31583052,37,0.5527027,0.96178841,1,20.45,31,1.51589242,,2024-01-01,2024-12-31
SW | Custom Retargeting | All GEOs,Retargeting UK (Engaged Shoppers),Dynamic Carousel,20.42,4922,4.14872003,39,0.52358974,0.79236083,,,,,2,2024-01-01,2024-12-31
SW | BE - Sales - Black Friday Campaign Campaign,SW | BE - Sales - Black Friday Campaign Ad Set,Video BF,20.39,3186,6.39987445,13,1.56846154,0.40803515,,,,,2,2024-01-01,2024-12-31
SW | Cherry Rodeo - Adv Shopping | USA  Campaign,SW | Cherry Rodeo - Adv Shopping | USA  Ad Set,Static - Flatlay,20.39,1654,12.32769045,22,0.92681818,1.33010883,,,,,,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs,"Retargeting US, UK & EU | CPR CAP 25GBP",Dynamic Collection - July Set,20.18,3331,6.05824077,17,1.18705882,0.51035725,2,10.09,136.81,6.77948464,3,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45,POST - MAY SET – Copy,20.17,2107,9.5728524,23,0.87695652,1.09159943,,,,,6,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45 – DUPLICATE - TEST NEW VIDS,VID - POV 2 - V3 - 394090090072811 – Copy,20.14,3289,6.12344178,16,1.25875,0.48647005,1,20.14,31,1.53922542,1,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,LAL CL 1-3%,CAROUSEL 1 - V4 – Copy,19.50,6198,3.14617619,42,0.46428571,0.67763795,2,9.75,130.81,6.70820513,7,2024-01-01,2024-12-31
PN | T/M/BOF - US,BROAD - FEMALE 18 - 45 – TOP US REGIONS,VID - ASMR UNBOXING - 370017892480031 – Copy,19.35,2560,7.55859375,19,1.01842105,0.7421875,,,,,2,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,PURCH LAL 1-5%,POST - MAY BOX – Copy,18.73,4461,4.19861018,27,0.6937037,0.60524546,,,,,2,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL CL 1-3%,VID - SPLIT - V2 - 385170974298056 – Copy,18.25,2449,7.45202123,14,1.30357143,0.5716619,3,6.08333333,96.35,5.27945205,1,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Switzerland Campaign,SW | Advantage+ Sales | Subscription | Switzerland Ad Set,Static - Oct Flatlay – Copy,18.21,2355,7.73248408,19,0.95842105,0.80679406,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL CL 1-3%,POST - MAY SUBSCRIBE – Copy,18.11,2308,7.84662045,7,2.58714286,0.30329289,1,18.11,31,1.71176146,,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Advantage Plus (Exc. Existing Customers),Video - Unboxing - Dec,17.83,3041,5.86320289,25,0.7132,0.82209799,,,,,2,2024-01-01,2024-12-31
PN | T/M/BOF - US,INT STACK: SOCIAL MEDIA,VID - ASMR UNBOXING - 370017892480031 – Copy,17.70,2321,7.62602327,18,0.98333333,0.77552779,,,,,2,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,INT STACK: ALL INTERESTS COMBINED,VID - SUBSCRIPTION BOX - V2 - 389185397229947 – Copy,17.62,2045,8.61613692,7,2.51714286,0.34229829,1,17.62,26.35,1.4954597,9,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Switzerland Campaign,SW | Advantage+ Sales | Subscription | Switzerland Ad Set,Advantage+ catalog ad,17.61,2317,7.60034527,15,1.174,0.64738886,,,,,,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs,Re-Targeting - UK,Dynamic Collection - July Set,17.56,1819,9.65365585,8,2.195,0.43980209,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45,VID - FEB LINGERIE - V1 - 365090829639404 – Copy,17.55,4167,4.21166307,11,1.59545455,0.26397888,1,17.55,31,1.76638177,4,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Advantage Plus (Exc. Existing Customers),Static - Dec – Copy,17.33,4271,4.05759775,56,0.30946429,1.31116834,1,17.33,40.5,2.33698788,6,2024-01-01,2024-12-31
PN | POST ENGAGEMENT,POST ENGAGEMENT,POST - LINGERIE EACH MONTH,16.29,78678,0.20704644,66,0.24681818,0.08388622,,,,,1,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Netherlands Campaign,SW | Advantage+ Sales | Subscription | Netherlands Ad Set,Video - Monthly Me-Time (flexible),16.27,3628,4.4845645,42,0.38738095,1.15766262,,,,,5,2024-01-01,2024-12-31
SW | CH - Sales - Black Friday Campaign Campaign,SW | CH - Sales - Black Friday Campaign Ad Set,Collection BF,16.27,1222,13.31423895,17,0.95705882,1.39116203,1,16.27,92.48,5.68408113,4,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - Interest Lingerie,POST - MAY SET – Copy,16.18,4496,3.59875445,43,0.37627907,0.95640569,,,,,4,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,LAL CL 1-3%,POST - MAY BOX,16.14,9834,1.64124466,64,0.2521875,0.65080334,,,,,3,2024-01-01,2024-12-31
SW | Advantage+ & LAL GIFTING | UK,Interest: Lingerie & Stores (Men),Gifting - Static (Men),16.10,1528,10.53664921,44,0.36590909,2.87958115,1,16.1,40.5,2.51552795,1,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,Static - Collage – Copy,16.02,3880,4.12886598,294,0.0544898,7.57731959,,,,,7,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,ENG RTG STACK,VID - FEB LINGERIE - V1 - 365090829639404 – Copy,15.99,3883,4.11795004,14,1.14214286,0.36054597,13,1.23,417.7,26.12257661,6,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,BROAD - FEMALE - 18-45,POST - MAY BOX – Copy,15.97,4443,3.59441819,12,1.33083333,0.27008778,2,7.985,88.86,5.56418284,,2024-01-01,2024-12-31
