Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesH,25-34,female,inactive,ad,9367,22825,2.43674602,7-day click or 1-day view,quoteReceived,27,231.37,8.57,2024-07-01,2024-12-22,213,1.08625825,10.13682397,2.98795181,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,25-34,female,inactive,ad,6385,19827,3.10524667,7-day click or 1-day view,quoteReceived,16,208.19,13.01,2024-05-09,2025-04-30,94,2.21473775,10.50009321,1.19533969,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|green_bulb,35-44,female,not_delivering,ad,5516,14698,2.66461204,7-day click or 1-day view,quoteReceived,9,173.21,19.25,2024-07-01,2024-12-22,46,3.76536686,11.78438398,1.03415431,2024-04-01,2025-04-20
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,45-54,female,inactive,ad,5336,8218,1.54010495,7-day click or 1-day view,Meta leads,61,171.60,2.81,2024-07-01,2024-12-22,147,1.16734431,20.88094591,4.0520808,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesH,35-44,female,inactive,ad,4376,10649,2.43350091,7-day click or 1-day view,quoteReceived,6,170.12,28.35,2024-07-01,2024-12-22,104,1.63581594,15.97566515,2.7232604,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,35-44,female,inactive,ad,4698,11280,2.40102171,7-day click or 1-day view,quoteReceived,14,169.80,12.13,2024-05-09,2025-04-30,114,1.48944599,15.05291157,2.20744681,2024-04-01,2025-04-20
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,35-44,female,inactive,ad,7176,10916,1.52118172,7-day click or 1-day view,Meta leads,73,167.39,2.29,2024-07-01,2024-12-22,216,0.77495764,15.33444937,4.41553683,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|green_bulb,25-34,female,not_delivering,ad,6952,17232,2.47871116,7-day click or 1-day view,quoteReceived,10,151.01,15.10,2024-07-01,2024-12-22,47,3.21308433,8.7636353,0.89368617,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,45-54,female,inactive,ad,8224,12208,1.4844358,7-day click or 1-day view,quoteReceived,6,143.67,23.94,2024-05-09,2024-12-22,79,1.81858628,11.76837452,1.31880734,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,25-34,female,inactive,ad,6485,16533,2.54942174,7-day click or 1-day view,quoteReceived,14,142.34,10.17,2024-05-09,2025-04-30,78,1.82489189,8.60954258,1.10082865,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|green_cta,45-54,female,inactive,ad,3393,11045,3.25523136,7-day click or 1-day view,quoteReceived,13,141.99,10.92,2024-05-09,2025-04-30,126,1.12690122,12.85555031,1.86509733,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-PLUM|IFD-STOR-RL|IMG|purple_sink,25-34,female,not_delivering,ad,11453,16887,1.47446084,7-day click or 1-day view,quoteReceived,10,140.68,14.07,2024-05-09,2024-12-22,63,2.23297926,8.33053196,1.17249956,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,25-34,female,inactive,ad,5418,12224,2.25618309,7-day click or 1-day view,quoteReceived,13,139.37,10.72,2024-05-09,2025-04-30,84,1.65916953,11.4013613,2.15150524,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,25-34,male,not_delivering,ad,13407,22714,1.6941896,7-day click or 1-day view,actions:visit_instagram_profile,1160,138.23,0.12,2024-05-08,2024-12-30,1160,0.11916323,6.08564512,5.09817734,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,35-44,female,inactive,ad,5000,12725,2.545,7-day click or 1-day view,quoteReceived,6,132.36,22.06,2024-05-09,2025-04-30,70,1.89084791,10.40152092,1.09233792,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,45-54,female,inactive,ad,2705,8188,3.02698706,7-day click or 1-day view,quoteReceived,14,128.72,9.19,2024-05-09,2025-04-30,76,1.69373977,15.72108239,1.5999023,2024-04-01,2025-04-20
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,25-34,female,inactive,ad,8088,12336,1.52522255,7-day click or 1-day view,Meta leads,47,125.68,2.67,2024-07-01,2024-12-22,175,0.71818912,10.18831841,4.19098573,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,45-54,female,not_delivering,ad,4401,6294,1.43012952,7-day click or 1-day view,quoteReceived,8,121.69,15.21,2024-05-09,2024-10-31,116,1.04907302,19.33467916,2.93930728,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,35-44,female,inactive,ad,4414,10162,2.30222021,7-day click or 1-day view,quoteReceived,9,120.97,13.44,2024-05-09,2025-04-30,69,1.75316852,11.9040177,1.09230466,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,45-54,female,inactive,ad,2400,6126,2.5525,7-day click or 1-day view,quoteReceived,10,119.73,11.97,2024-05-09,2025-04-30,86,1.39220876,19.5445565,2.30166503,2024-04-01,2025-04-20
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,25-34,female,not_delivering,ad,13006,31859,2.44956174,7-day click or 1-day view,Link clicks,264,115.50,0.44,2024-12-17,Ongoing,264,0.43751096,3.62544005,0.85376189,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,35-44,female,active,ad,6639,11097,1.67148667,7-day click or 1-day view,quoteReceived,12,115.50,9.63,2024-05-09,2025-04-30,80,1.44375,10.40821844,1.22555646,2024-04-01,2025-04-20
