Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
01.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective – Completed Quote,TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,TH_ABO_retargeting_warm Audience_Conversion-based Objective_July Ad1,25-34,female,not_delivering,ad,535,625,1.1682243,7-day click or 1-day view,,,4.17,,2023-11-23,Ongoing,6,0.695,6.672,1.92,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesH,55-64,male,inactive,ad,120,228,1.9,7-day click or 1-day view,,,4.16,,2024-07-01,2024-12-22,8,0.51998428,18.2450626,6.14035088,2024-04-01,2025-04-20
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,45-54,female,inactive,ad,238,258,1.08403361,7-day click or 1-day view,Meta leads,1,4.15,4.15,2024-07-01,2024-12-22,2,2.075,16.08527132,1.5503876,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|Interest|VariousTrades|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,45-54,female,not_delivering,ad,504,617,1.22420635,7-day click or 1-day view,actions:visit_instagram_profile,42,4.12,0.10,2024-05-08,2024-12-30,41,0.10053457,6.68057909,7.29335494,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-PLUM|IFD-STOR-RL|IMG|green_cta_tap,25-34,male,inactive,ad,303,445,1.46864686,7-day click or 1-day view,quoteReceived,1,4.11,4.11,2024-07-01,2024-12-22,4,1.02874797,9.2471728,0.8988764,2024-04-01,2025-04-20
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,55-64,unknown,inactive,ad,96,219,2.28125,7-day click or 1-day view,Meta leads,2,4.10,2.05,2024-07-01,2024-12-22,5,0.8197593,18.71596565,4.56621005,2024-04-01,2025-04-20
MH* 04.00 | TH | Islington (Feed),04.11 | Finsbury,Hyperlocal Grid Posts Design 3 |  Plumber,35-44,female,not_delivering,ad,359,465,1.29526462,7-day click or 1-day view,,,4.09,,2024-04-04,Ongoing,6,0.68166667,8.79569892,1.93548387,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-BOIL|IFD-STOR-RL|IMG|green_cta_boiler,18-24,female,not_delivering,ad,642,718,1.11838006,7-day click or 1-day view,,,4.06,,2024-05-09,2024-10-31,1,4.06,5.6545961,0.97493036,2024-04-01,2025-04-20
MH* 04.00 | TH | Islington (Feed),04.06 | Kings Cross,Hyperlocal Grid Posts Design 3 |  Plumber,35-44,female,not_delivering,ad,202,357,1.76732673,7-day click or 1-day view,quoteReceived,2,4.06,2.03,2024-04-04,Ongoing,3,1.35333333,11.37254902,1.12044818,2024-04-01,2025-04-20
02.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [Old version of conv type],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,Attributes creative image 3,45-54,female,not_delivering,ad,246,324,1.31707317,7-day click or 1-day view,,,4.05,,2023-04-13,Ongoing,6,0.675,12.5,2.77777778,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,35-44,unknown,inactive,ad,196,333,1.69897959,7-day click or 1-day view,,,4.03,,2024-05-09,2025-04-30,2,2.01482559,12.10105462,1.5015015,2024-04-01,2025-04-20
MH* 07.00 | TH | Southwark (Feed),04.03 | Rotherhithe,Hyperlocal Grid Posts Design 3 |  Plumber,35-44,female,not_delivering,ad,204,415,2.03431373,7-day click or 1-day view,,,4.03,,2024-04-05,Ongoing,,,9.70506655,0.72289157,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|beige_cta_spanner,25-34,male,inactive,ad,380,496,1.30526316,7-day click or 1-day view,,,4.02,,2024-05-09,2025-04-30,1,4.01975782,8.10435044,1.41129032,2024-04-01,2025-04-20
MH* 07.00 | TH | Southwark (Feed),04.04 | Walworth,Hyperlocal Grid Posts Design 1 |  Electrician,25-34,female,not_delivering,ad,423,555,1.31205674,7-day click or 1-day view,,,3.98,,2024-04-05,Ongoing,2,1.9881557,7.16452504,1.26126126,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,25-34,unknown,inactive,ad,256,562,2.1953125,7-day click or 1-day view,,,3.97,,2024-05-09,2025-04-30,,,7.0594583,1.2455516,2024-04-01,2025-04-20
MH* 04.00 | TH | Islington (Feed),04.01 | Angel,Hyperlocal Grid Posts Design 3 |  Plumber,35-44,female,not_delivering,ad,291,367,1.26116838,7-day click or 1-day view,,,3.96,,2024-04-04,Ongoing,2,1.97858369,10.78247243,1.36239782,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,35-44,unknown,inactive,ad,164,396,2.41463415,7-day click or 1-day view,,,3.95,,2024-05-09,2025-04-30,2,1.9754381,9.97696009,1.51515152,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|green_cta,18-24,unknown,inactive,ad,192,791,4.11979167,7-day click or 1-day view,quoteReceived,1,3.94,3.94,2024-05-09,2025-04-30,1,3.94026511,4.98137181,0.63211125,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,18-24,male,active,ad,344,563,1.63662791,7-day click or 1-day view,,,3.93,,2024-05-09,2025-04-30,2,1.965,6.98046181,2.48667851,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,25-34,unknown,inactive,ad,194,366,1.88659794,7-day click or 1-day view,,,3.92,,2024-05-09,2025-04-30,4,0.98,10.71038251,2.73224044,2024-04-01,2025-04-20
MH* 00.00 | TH | Followers Campaign (Cold Audience London),TH_ABO_Prospecting_Cold Audience_London_Broad_Ad Set 1_IG,TH_ABO_Prospecting_Cold Audience_London_Ad1_Single Image_April_NewAd2,45-54,female,not_delivering,ad,776,928,1.19587629,7-day click or 1-day view,actions:visit_instagram_profile,36,3.92,0.11,2024-02-09,Ongoing,34,0.11528128,4.22366754,3.6637931,2024-04-01,2025-04-20
MH* 00.00 | TH | Followers Campaign (Cold Audience London),TH_ABO_Prospecting_Cold Audience_London_Broad_Ad Set 1_FB,TH_ABO_Prospecting_Cold Audience_London_Ad1_Single Image_Landing Page Change(How it works),45-54,female,not_delivering,ad,772,895,1.15932642,7-day click or 1-day view,actions:visit_instagram_profile,28,3.82,0.14,2024-02-09,Ongoing,26,0.14692308,4.26815642,2.90502793,2024-04-01,2025-04-20
MH* 00.00 | TH | Followers Campaign (Cold Audience London),TH_ABO_Prospecting_Cold Audience_London_Interest Based_Ad Set 2,TH_ABO_Prospecting_Cold Audience_London_Ad1_Single Image,45-54,female,not_delivering,ad,568,797,1.40316901,7-day click or 1-day view,actions:visit_instagram_profile,28,3.82,0.14,2024-02-09,Ongoing,29,0.13169155,4.79178786,3.76411543,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,35-44,unknown,inactive,ad,204,379,1.85784314,7-day click or 1-day view,,,3.73,,2024-05-09,2025-04-30,2,1.8637859,9.8352818,1.8469657,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|IMG|review_tap_plummer,25-34,female,inactive,ad,763,875,1.14678899,7-day click or 1-day view,actions:visit_instagram_profile,21,3.72,0.18,2024-05-08,2024-12-30,21,0.17714286,4.25142857,2.4,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|Christmas,35-44,unknown,not_delivering,ad,335,390,1.1641791,7-day click or 1-day view,,,3.70,,2024-05-09,2024-12-22,,,9.48717949,0.51282051,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-GAS|IFD-STOR-RL|IMG|beige_gas,25-34,female,inactive,ad,531,602,1.13370998,7-day click or 1-day view,,,3.69,,2024-05-09,2024-10-31,2,1.845,6.12956811,0.83056478,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-PLUM|IFD-STOR-RL|IMG|purple_cta_sink,18-24,female,not_delivering,ad,254,447,1.75984252,7-day click or 1-day view,,,3.69,,2024-07-01,2024-12-22,2,1.84438674,8.25228965,1.34228188,2024-04-01,2025-04-20
02.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [Old version of conv type],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,TH_ABO_retargeting_warm Audience_Conversion-based Objective_July Ad2,45-54,female,not_delivering,ad,383,398,1.03916449,7-day click or 1-day view,,,3.67,,2023-04-13,Ongoing,3,1.22333333,9.22110553,2.26130653,2024-04-01,2025-04-20
03.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [NEW],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,Attributes creative image 4,18-24,female,not_delivering,ad,518,613,1.18339768,7-day click or 1-day view,,,3.67,,2024-03-19,Ongoing,4,0.9175,5.98694943,1.46818923,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,45-54,unknown,inactive,ad,76,282,3.71052632,7-day click or 1-day view,,,3.63,,2024-05-09,2025-04-30,3,1.21032178,12.87576357,1.41843972,2024-04-01,2025-04-20
MH* 04.00 | TH | Islington (Feed),04.03 | Canonbury,Hyperlocal Grid Posts Design 1 |  Electrician,45-54,female,not_delivering,ad,125,262,2.096,7-day click or 1-day view,,,3.63,,2024-04-04,Ongoing,1,3.63,13.85496183,0.76335878,2024-04-01,2025-04-20
MH* 04.00 | TH | Islington (Feed),04.12 | Holloway,Hyperlocal Grid Posts Design 1 |  Electrician,25-34,female,not_delivering,ad,369,490,1.32791328,7-day click or 1-day view,,,3.63,,2024-04-04,Ongoing,,,7.40816327,0.20408163,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip2,25-34,male,inactive,ad,275,314,1.14181818,7-day click or 1-day view,,,3.62,,2024-05-09,2025-04-30,,,11.52866242,1.27388535,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|Warm|IGEngagers&WebVisit|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,18-24,unknown,not_delivering,ad,358,816,2.27932961,7-day click or 1-day view,actions:visit_instagram_profile,34,3.60,0.11,2024-05-08,2024-12-30,34,0.10592707,4.41362804,4.16666667,2024-04-01,2025-04-20
01.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective – Completed Quote,TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,TH_ABO_retargeting_warm Audience_Conversion-based Objective_Ad 4,35-44,female,not_delivering,ad,364,397,1.09065934,7-day click or 1-day view,,,3.60,,2023-11-23,Ongoing,7,0.51388611,9.06096422,2.26700252,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,35-44,male,active,ad,166,287,1.72891566,7-day click or 1-day view,,,3.59,,2024-05-09,2025-04-30,1,3.59051547,12.51050687,0.69686411,2024-04-01,2025-04-20
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,55-64,female,inactive,ad,180,197,1.09444444,7-day click or 1-day view,Meta leads,1,3.59,3.59,2024-07-01,2024-12-22,2,1.795,18.22335025,2.03045685,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,35-44,unknown,inactive,ad,152,263,1.73026316,7-day click or 1-day view,,,3.59,,2024-05-09,2025-04-30,,,13.65019011,0.76045627,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|green_bulb,55-64,female,not_delivering,ad,281,341,1.21352313,7-day click or 1-day view,,,3.57,,2024-05-09,2024-12-22,1,3.57,10.46920821,0.29325513,2024-04-01,2025-04-20
MH* 07.00 | TH | Southwark (Feed),04.01 | Borough,Hyperlocal Grid Posts Design 1 |  Electrician,18-24,female,not_delivering,ad,593,682,1.15008432,7-day click or 1-day view,,,3.55,,2024-04-05,Ongoing,2,1.7743622,5.20340821,1.90615836,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY,UGC|IFD-STOR-RL|VID|Clip1,35-44,male,inactive,ad,212,265,1.25,7-day click or 1-day view,,,3.53,,2025-03-02,Ongoing,2,1.765,13.32075472,1.50943396,2024-04-01,2025-04-20
MH* 06.00 | TH | Islington (Reel),04.12 | Holloway,Hyperlocal Reel  |  Tradeswomen,25-34,female,not_delivering,ad,312,474,1.51923077,7-day click or 1-day view,,,3.51,,2024-04-05,Ongoing,,,7.40506329,0,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,18-24,male,inactive,ad,328,349,1.06402439,7-day click or 1-day view,,,3.51,,2024-05-09,2024-12-22,3,1.16991164,10.05654703,3.43839542,2024-04-01,2025-04-20
MH* 04.00 | TH | Islington (Feed),04.08 | Archway,Hyperlocal Grid Posts Design 3 |  Plumber,35-44,female,not_delivering,ad,243,323,1.32921811,7-day click or 1-day view,,,3.49,,2024-04-04,Ongoing,1,3.49,10.80495356,0.30959752,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,25-34,unknown,inactive,ad,264,484,1.83333333,7-day click or 1-day view,,,3.49,,2024-05-09,2025-04-30,1,3.48969793,7.21011968,0.82644628,2024-04-01,2025-04-20
MH* 00.00 | TH | Followers Campaign (Cold Audience London),TH_ABO_Prospecting_Cold Audience_London_Broad_Ad Set 1_FB,TH_ABO_Prospecting_Cold Audience_London_Ad1_Single Image - Copy,45-54,female,not_delivering,ad,655,781,1.19236641,7-day click or 1-day view,actions:visit_instagram_profile,26,3.48,0.13,2024-02-09,Ongoing,27,0.12882543,4.45363196,3.45710627,2024-04-01,2025-04-20
MH* 07.00 | TH | Southwark (Feed),04.10 | Dulwich Village,Hyperlocal Grid Posts Design 3 |  Plumber,45-54,female,not_delivering,ad,239,331,1.38493724,7-day click or 1-day view,,,3.47,,2024-04-05,Ongoing,3,1.15666667,10.48338369,1.51057402,2024-04-01,2025-04-20
MH* 04.00 | TH | Islington (Feed),04.02 | Highbury,Hyperlocal Grid Posts Design 3 |  Plumber,25-34,female,not_delivering,ad,270,403,1.49259259,7-day click or 1-day view,,,3.46,,2024-04-04,Ongoing,,,8.58560794,1.24069479,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,55-64,male,inactive,ad,112,167,1.49107143,7-day click or 1-day view,,,3.46,,2024-05-09,2025-04-30,6,0.57647385,20.71163531,4.19161677,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,35-44,male,not_delivering,ad,254,384,1.51181102,7-day click or 1-day view,,,3.44,,2025-03-02,Ongoing,2,1.72,8.95833333,1.04166667,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesS,65+,female,inactive,ad,208,223,1.07211538,7-day click or 1-day view,,,3.44,,2024-05-09,2024-10-31,6,0.57330106,15.42514068,5.38116592,2024-04-01,2025-04-20
MH* 07.00 | TH | Southwark (Feed),04.03 | Rotherhithe,Hyperlocal Grid Posts Design 1 |  Electrician,35-44,female,not_delivering,ad,152,283,1.86184211,7-day click or 1-day view,,,3.43,,2024-04-05,Ongoing,,,12.12014134,0.70671378,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-PLUM|IFD-STOR-RL|IMG|Christmas,35-44,unknown,not_delivering,ad,191,256,1.34031414,7-day click or 1-day view,,,3.42,,2024-07-01,2024-12-22,3,1.13983203,13.35740665,1.953125,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,45-54,unknown,not_delivering,ad,64,168,2.625,7-day click or 1-day view,,,3.41,,2024-05-09,2024-10-31,3,1.13678316,20.2996993,3.57142857,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|Warm|IGEngagers&WebVisit|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3 – Copy,25-34,male,not_delivering,ad,301,468,1.55481728,7-day click or 1-day view,actions:visit_instagram_profile,30,3.40,0.11,2024-05-08,2024-12-30,30,0.1134669,7.27351929,6.41025641,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,25-34,male,active,ad,174,277,1.59195402,7-day click or 1-day view,,,3.37,,2024-05-09,2025-04-30,,,12.16781185,0,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,18-24,male,active,ad,392,578,1.4744898,7-day click or 1-day view,,,3.35,,2024-05-09,2025-04-30,3,1.11668398,5.79593762,1.21107266,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|Warm|IGEngagers&WebVisit|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3 – Copy,18-24,male,not_delivering,ad,253,444,1.75494071,7-day click or 1-day view,actions:visit_instagram_profile,36,3.34,0.09,2024-05-08,2024-12-30,38,0.08800296,7.53178486,8.55855856,2024-04-01,2025-04-20
MH* 06.00 | TH | Islington (Reel),04.07 | Shoreditch,Hyperlocal Reel  |  Tradeswomen,25-34,female,not_delivering,ad,388,535,1.37886598,7-day click or 1-day view,,,3.32,,2024-04-05,Ongoing,2,1.66,6.20560748,0.37383178,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,25-34,male,not_delivering,ad,324,455,1.40432099,7-day click or 1-day view,,,3.31,,2025-03-02,Ongoing,1,3.30967742,7.27401631,1.53846154,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,65+,female,inactive,ad,76,150,1.97368421,7-day click or 1-day view,,,3.30,,2024-07-01,2024-12-22,4,0.82553441,22.01425101,4,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,55-64,male,not_delivering,ad,88,132,1.5,7-day click or 1-day view,quoteReceived,1,3.29,3.29,2024-05-09,2024-12-22,6,0.54830466,24.92293913,5.3030303,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-BOIL|IFD-STOR-RL|IMG|green_cta_boiler,45-54,female,not_delivering,ad,338,373,1.1035503,7-day click or 1-day view,,,3.28,,2024-05-09,2024-10-31,2,1.64,8.79356568,0.80428954,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|beige_cta_spanner,35-44,male,inactive,ad,224,413,1.84375,7-day click or 1-day view,,,3.27,,2024-05-09,2025-04-30,5,0.6539606,7.91719855,1.69491525,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-PLUM|IFD-STOR-RL|IMG|purple_cta_sink,65+,female,not_delivering,ad,110,236,2.14545455,7-day click or 1-day view,,,3.27,,2024-07-01,2024-12-22,1,3.26891308,13.85132661,0.84745763,2024-04-01,2025-04-20
MH* 04.00 | TH | Islington (Feed),04.06 | Kings Cross,Hyperlocal Grid Posts Design 1 |  Electrician,25-34,female,not_delivering,ad,237,389,1.64135021,7-day click or 1-day view,,,3.26,,2024-04-04,Ongoing,1,3.26,8.38046272,0.51413882,2024-04-01,2025-04-20
LDN|15.08|MID|PRS|QUOTE|ALL - Cold,LDN|ALL|18-55|Interest|VariousTrades|IG|ALL,GEN|IFD-STOR-RL|IMG|beige_cta_spanner,35-44,female,not_delivering,ad,326,343,1.05214724,7-day click or 1-day view,,,3.24,,2024-05-09,2024-06-16,5,0.648,9.44606414,2.62390671,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-PLUM|IFD-STOR-RL|IMG|green_cta_tap,65+,female,not_delivering,ad,320,438,1.36875,7-day click or 1-day view,,,3.24,,2024-05-09,2024-12-22,2,1.61926349,7.3938972,2.05479452,2024-04-01,2025-04-20
MH* 06.00 | TH | Islington (Reel),04.11 | Finsbury,Hyperlocal Reel  |  Tradeswomen,25-34,female,not_delivering,ad,362,494,1.36464088,7-day click or 1-day view,,,3.23,,2024-04-05,Ongoing,,,6.53846154,0,2024-04-01,2025-04-20
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,35-44,female,inactive,ad,231,252,1.09090909,7-day click or 1-day view,,,3.23,,2024-07-01,2024-12-22,1,3.23,12.81746032,1.19047619,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,45-54,female,not_delivering,ad,194,293,1.51030928,7-day click or 1-day view,,,3.23,,2025-03-02,Ongoing,1,3.23,11.02389078,0.68259386,2024-04-01,2025-04-20
03.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [NEW],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,TH_ABO_retargeting_warm Audience_Conversion-based Objective_Ad 4,45-54,female,not_delivering,ad,248,274,1.10483871,7-day click or 1-day view,,,3.21,,2024-03-19,Ongoing,9,0.35666667,11.71532847,4.01459854,2024-04-01,2025-04-20
MH* 06.00 | TH | Islington (Reel),04.03 | Canonbury,Hyperlocal Reel  |  Tradeswomen,25-34,female,not_delivering,ad,253,468,1.84980237,7-day click or 1-day view,,,3.20,,2024-04-05,Ongoing,,,6.83760684,0,2024-04-01,2025-04-20
MH* 07.00 | TH | Southwark (IG Story),04.01 | Borough,Hyperlocal IG Story Design 1 |  Electrician,25-34,female,not_delivering,ad,486,528,1.08641975,7-day click or 1-day view,,,3.19,,2024-04-05,Ongoing,2,1.595,6.04166667,1.70454545,2024-04-01,2025-04-20
MH* 07.00 | TH | Southwark (Feed),04.08 | Nunhead,Hyperlocal Grid Posts Design 3 |  Plumber,45-54,female,not_delivering,ad,126,226,1.79365079,7-day click or 1-day view,,,3.18,,2024-04-05,Ongoing,,,14.06462506,0.44247788,2024-04-01,2025-04-20
MH* 06.00 | TH | Islington (Reel),04.08 | Archway,Hyperlocal Reel  |  Tradeswomen,25-34,female,not_delivering,ad,363,504,1.38842975,7-day click or 1-day view,,,3.16,,2024-04-05,Ongoing,,,6.26984127,0.1984127,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,45-54,male,inactive,ad,100,233,2.33,7-day click or 1-day view,,,3.16,,2024-05-09,2025-04-30,5,0.63162734,13.55423469,2.5751073,2024-04-01,2025-04-20
