Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,male,18-24,inactive,ad,36,55,1.52777778,7-day click or 1-day view,,,0.28993547,,09/05/2024,30/04/2025,,,5.27155399,0,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,35-44,not_delivering,ad,30,53,1.76666667,7-day click or 1-day view,,,0.60979542,,09/01/2025,Ongoing,,,11.50557389,0,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,55-64,not_delivering,ad,32,53,1.65625,7-day click or 1-day view,Link clicks,1,0.28996433,0.28996433,17/12/2024,Ongoing,1,0.28996433,5.47102506,1.88679245,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,25-34,not_delivering,ad,36,52,1.44444444,7-day click or 1-day view,,,0.55981219,,09/01/2025,Ongoing,,,10.76561895,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,female,45-54,inactive,ad,33,51,1.54545455,7-day click or 1-day view,,,0.47953757,,09/05/2024,30/04/2025,1,0.47953757,9.4026975,1.96078431,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,female,45-54,inactive,ad,34,48,1.41176471,7-day click or 1-day view,,,0.44860896,,09/05/2024,30/04/2025,,,9.34602009,2.08333333,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,45-54,not_delivering,ad,38,45,1.18421053,7-day click or 1-day view,,,0.75974511,,09/01/2025,Ongoing,,,16.88322464,2.22222222,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,unknown,18-24,inactive,ad,20,44,2.2,7-day click or 1-day view,,,0.25982228,,09/05/2024,30/04/2025,,,5.90505189,2.27272727,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,65+,not_delivering,ad,8,44,5.5,7-day click or 1-day view,Link clicks,1,0.20997417,0.20997417,17/12/2024,Ongoing,1,0.20997417,4.7721402,2.27272727,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,55-64,not_delivering,ad,29,43,1.48275862,7-day click or 1-day view,,,0.92968809,,09/01/2025,Ongoing,,,21.62065335,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,male,18-24,inactive,ad,32,42,1.3125,7-day click or 1-day view,,,0.21931994,,09/05/2024,30/04/2025,,,5.22190329,2.38095238,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,female,18-24,inactive,ad,30,40,1.33333333,7-day click or 1-day view,,,0.16983622,,09/05/2024,30/04/2025,,,4.24590559,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,male,25-34,inactive,ad,31,40,1.29032258,7-day click or 1-day view,,,0.33967245,,09/05/2024,30/04/2025,,,8.49181118,2.5,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,male,45-54,inactive,ad,20,39,1.95,7-day click or 1-day view,,,0.46989542,,09/05/2024,30/04/2025,,,12.04860041,0,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,65+,not_delivering,ad,25,35,1.4,7-day click or 1-day view,,,0.47983902,,09/01/2025,Ongoing,,,13.70968618,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,male,45-54,inactive,ad,30,34,1.13333333,7-day click or 1-day view,quoteReceived,1,0.46992939,0.46992939,09/05/2024,30/04/2025,,,13.82145256,2.94117647,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,25-34,active,ad,26,34,1.30769231,7-day click or 1-day view,,,0.39,,09/05/2024,30/04/2025,,,11.47058824,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,35-44,active,ad,26,33,1.26923077,7-day click or 1-day view,,,0.4,,09/05/2024,30/04/2025,,,12.12121212,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,unknown,18-24,inactive,ad,24,30,1.25,7-day click or 1-day view,,,0.14,,09/05/2024,30/04/2025,,,4.66666667,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,female,45-54,inactive,ad,24,29,1.20833333,7-day click or 1-day view,,,0.57,,09/05/2024,30/04/2025,3,0.19,19.65517241,13.79310345,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,female,45-54,inactive,ad,27,29,1.07407407,7-day click or 1-day view,,,0.32,,09/05/2024,30/04/2025,,,11.03448276,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,unknown,35-44,inactive,ad,19,24,1.26315789,7-day click or 1-day view,,,0.14953632,,09/05/2024,30/04/2025,,,6.23068006,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,45-54,active,ad,20,24,1.2,7-day click or 1-day view,,,0.35,,09/05/2024,30/04/2025,,,14.58333333,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,male,45-54,inactive,ad,14,23,1.64285714,7-day click or 1-day view,,,0.32977444,,09/05/2024,30/04/2025,,,14.33801896,0,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,18-24,not_delivering,ad,16,22,1.375,7-day click or 1-day view,,,0.15994634,,09/01/2025,Ongoing,,,7.27028812,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,unknown,35-44,inactive,ad,13,20,1.53846154,7-day click or 1-day view,,,0.11988439,,09/05/2024,30/04/2025,,,5.99421965,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,18-24,active,ad,17,19,1.11764706,7-day click or 1-day view,,,0.07,,09/05/2024,30/04/2025,,,3.68421053,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,female,18-24,inactive,ad,15,17,1.13333333,7-day click or 1-day view,,,0.12,,09/05/2024,30/04/2025,,,7.05882353,0,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,65+,not_delivering,ad,13,15,1.15384615,7-day click or 1-day view,Meta leads,1,0.29989939,0.29989939,09/01/2025,Ongoing,1,0.29989939,19.99329234,20,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,unknown,45-54,inactive,ad,6,15,2.5,7-day click or 1-day view,,,0.1199733,,09/05/2024,30/04/2025,,,7.99821985,0,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,18-24,not_delivering,ad,11,14,1.27272727,7-day click or 1-day view,,,0.11995975,,09/01/2025,Ongoing,,,8.56855386,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,unknown,18-24,inactive,ad,6,14,2.33333333,7-day click or 1-day view,,,0.08997997,,09/05/2024,30/04/2025,,,6.42714095,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,unknown,18-24,inactive,ad,8,13,1.625,7-day click or 1-day view,,,0.04984544,,09/05/2024,30/04/2025,,,3.83426465,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,unknown,25-34,inactive,ad,10,12,1.2,7-day click or 1-day view,,,0.09990366,,09/05/2024,30/04/2025,,,8.32530507,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,unknown,35-44,inactive,ad,8,11,1.375,7-day click or 1-day view,,,0.13,,09/05/2024,30/04/2025,1,0.13,11.81818182,9.09090909,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,unknown,35-44,active,ad,8,10,1.25,7-day click or 1-day view,,,0.07,,09/05/2024,30/04/2025,,,7,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,unknown,25-34,active,ad,8,8,1,7-day click or 1-day view,,,0.15,,09/05/2024,30/04/2025,,,18.75,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,unknown,45-54,inactive,ad,6,7,1.16666667,7-day click or 1-day view,,,0.10998347,,09/05/2024,30/04/2025,,,15.71192479,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,male,18-24,inactive,ad,6,6,1,7-day click or 1-day view,,,0.01998073,,09/05/2024,30/04/2025,,,3.33012203,16.66666667,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,male,18-24,inactive,ad,6,6,1,7-day click or 1-day view,,,0.09,,09/05/2024,30/04/2025,,,15,16.66666667,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,male,45-54,inactive,ad,5,6,1.2,7-day click or 1-day view,,,0.14,,09/05/2024,30/04/2025,,,23.33333333,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,unknown,25-34,inactive,ad,6,6,1,7-day click or 1-day view,,,0.06,,09/05/2024,30/04/2025,,,10,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,unknown,45-54,inactive,ad,2,5,2.5,7-day click or 1-day view,,,0.02997949,,09/05/2024,30/04/2025,,,5.99589884,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,18-24,active,ad,5,5,1,7-day click or 1-day view,,,0.04,,09/05/2024,30/04/2025,,,8,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,unknown,18-24,active,ad,2,5,2.5,7-day click or 1-day view,,,0.04,,09/05/2024,30/04/2025,,,8,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,male,45-54,inactive,ad,3,4,1.33333333,7-day click or 1-day view,,,0.03,,09/05/2024,30/04/2025,,,7.5,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,unknown,18-24,inactive,ad,2,4,2,7-day click or 1-day view,,,0.01998073,,09/05/2024,30/04/2025,,,4.99518304,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,male,45-54,inactive,ad,4,4,1,7-day click or 1-day view,,,0.05981453,,09/05/2024,30/04/2025,,,14.95363215,25,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,male,45-54,inactive,ad,3,3,1,7-day click or 1-day view,,,0.08991329,,09/05/2024,30/04/2025,,,29.97109827,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,45-54,active,ad,2,2,1,7-day click or 1-day view,,,0.05,,09/05/2024,30/04/2025,,,25,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,unknown,18-24,inactive,ad,1,2,2,7-day click or 1-day view,,,0,,09/05/2024,30/04/2025,,,0,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,unknown,45-54,inactive,ad,1,2,2,7-day click or 1-day view,,,0.02,,09/05/2024,30/04/2025,,,10,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,unknown,45-54,inactive,ad,1,1,1,7-day click or 1-day view,,,0,,09/05/2024,30/04/2025,,,0,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,unknown,45-54,inactive,ad,1,1,1,7-day click or 1-day view,,,0,,09/05/2024,30/04/2025,,,0,0,01/01/2025,31/01/2025
