Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,female,45-54,not_delivering,ad,754,1092,1.44827586,7-day click or 1-day view,Meta leads,3,21.29285634,7.09761878,09/01/2025,Ongoing,10,2.12928563,19.4989527,1.73992674,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,female,35-44,inactive,ad,770,1024,1.32987013,7-day click or 1-day view,,,9.49057187,,09/05/2024,30/04/2025,9,1.05450799,9.26813659,1.26953125,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,male,25-34,inactive,ad,570,978,1.71578947,7-day click or 1-day view,quoteReceived,1,10.44842999,10.44842999,09/05/2024,30/04/2025,9,1.16093667,10.68346625,2.86298569,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,female,55-64,not_delivering,ad,563,811,1.44049734,7-day click or 1-day view,Meta leads,1,18.80369145,18.80369145,09/01/2025,Ongoing,6,3.13394857,23.18580943,1.23304562,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,female,35-44,inactive,ad,703,795,1.13086771,7-day click or 1-day view,quoteReceived,5,8.83,1.766,09/05/2024,30/04/2025,14,0.63071429,11.10691824,2.89308176,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,male,25-34,inactive,ad,442,790,1.78733032,7-day click or 1-day view,,,6.02587833,,09/05/2024,30/04/2025,2,3.01293917,7.62769409,1.13924051,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,65+,not_delivering,ad,424,780,1.83962264,7-day click or 1-day view,Link clicks,10,4.52944278,0.45294428,17/12/2024,Ongoing,10,0.45294428,5.80697793,1.66666667,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,55-64,not_delivering,ad,488,755,1.54713115,7-day click or 1-day view,Link clicks,12,5.26935176,0.43911265,17/12/2024,Ongoing,12,0.43911265,6.97927385,1.58940397,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,female,25-34,not_delivering,ad,513,754,1.46978558,7-day click or 1-day view,Meta leads,1,9.97665288,9.97665288,09/01/2025,Ongoing,3,3.32555096,13.23163512,0.53050398,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,male,25-34,inactive,ad,356,720,2.02247191,7-day click or 1-day view,,,6.65851802,,09/05/2024,30/04/2025,3,2.21950601,9.2479417,0.55555556,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,male,35-44,inactive,ad,390,680,1.74358974,7-day click or 1-day view,quoteReceived,1,10.13847656,10.13847656,09/05/2024,30/04/2025,8,1.26730957,14.90952436,2.20588235,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,male,35-44,inactive,ad,308,676,2.19480519,7-day click or 1-day view,,,7.86824878,,09/05/2024,30/04/2025,2,3.93412439,11.63942127,0.59171598,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,female,18-24,inactive,ad,338,604,1.78698225,7-day click or 1-day view,,,3.97727956,,09/05/2024,30/04/2025,3,1.32575985,6.58489994,0.99337748,01/01/2025,31/01/2025
