Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,18-24,active,ad,67,67,1,7-day click or 1-day view,,,0.39,,09/05/2024,30/04/2025,,,5.82089552,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,18-24,inactive,ad,55,60,1.09090909,7-day click or 1-day view,,,0.23,,09/05/2024,30/04/2025,,,3.83333333,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,18-24,active,ad,32,51,1.59375,7-day click or 1-day view,,,0.27,,09/05/2024,30/04/2025,2,0.135,5.29411765,3.92156863,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,18-24,active,ad,40,45,1.125,7-day click or 1-day view,,,0.23,,09/05/2024,30/04/2025,,,5.11111111,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,35-44,inactive,ad,38,39,1.02631579,7-day click or 1-day view,,,0.31,,09/05/2024,30/04/2025,,,7.94871795,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,45-54,active,ad,22,26,1.18181818,7-day click or 1-day view,,,0.38,,09/05/2024,30/04/2025,,,14.61538462,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,35-44,active,ad,22,24,1.09090909,7-day click or 1-day view,,,0.2,,09/05/2024,30/04/2025,1,0.2,8.33333333,4.16666667,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,45-54,inactive,ad,22,24,1.09090909,7-day click or 1-day view,,,0.23,,09/05/2024,30/04/2025,,,9.58333333,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,18-24,active,ad,22,23,1.04545455,7-day click or 1-day view,,,0.13,,09/05/2024,30/04/2025,,,5.65217391,4.34782609,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,45-54,active,ad,19,23,1.21052632,7-day click or 1-day view,,,0.35,,09/05/2024,30/04/2025,,,15.2173913,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,25-34,inactive,ad,21,21,1,7-day click or 1-day view,,,0.16,,09/05/2024,30/04/2025,1,0.16,7.61904762,4.76190476,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,45-54,active,ad,16,21,1.3125,7-day click or 1-day view,,,0.21,,09/05/2024,30/04/2025,,,10,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,35-44,inactive,ad,18,18,1,7-day click or 1-day view,,,0.15,,09/05/2024,30/04/2025,,,8.33333333,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,18-24,active,ad,15,18,1.2,7-day click or 1-day view,,,0.17,,09/05/2024,30/04/2025,,,9.44444444,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,45-54,active,ad,17,17,1,7-day click or 1-day view,,,0.24,,09/05/2024,30/04/2025,,,14.11764706,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,25-34,active,ad,15,17,1.13333333,7-day click or 1-day view,,,0.19,,09/05/2024,30/04/2025,,,11.17647059,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,25-34,active,ad,15,15,1,7-day click or 1-day view,,,0.13,,09/05/2024,30/04/2025,,,8.66666667,6.66666667,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,unknown,35-44,active,ad,12,15,1.25,7-day click or 1-day view,,,0.19,,09/05/2024,30/04/2025,,,12.66666667,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,35-44,active,ad,14,14,1,7-day click or 1-day view,quoteReceived,1,0.1,0.1,09/05/2024,30/04/2025,,,7.14285714,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,18-24,inactive,ad,11,13,1.18181818,7-day click or 1-day view,,,0.06,,09/05/2024,30/04/2025,,,4.61538462,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,45-54,active,ad,7,7,1,7-day click or 1-day view,,,0.03,,09/05/2024,30/04/2025,,,4.28571429,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,unknown,25-34,active,ad,7,7,1,7-day click or 1-day view,,,0.05,,09/05/2024,30/04/2025,,,7.14285714,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,18-24,active,ad,5,6,1.2,7-day click or 1-day view,,,0.09,,09/05/2024,30/04/2025,,,15,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,18-24,inactive,ad,5,5,1,7-day click or 1-day view,,,0.02,,09/05/2024,30/04/2025,,,4,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,unknown,18-24,active,ad,2,3,1.5,7-day click or 1-day view,,,0.05,,09/05/2024,30/04/2025,,,16.66666667,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,45-54,inactive,ad,3,3,1,7-day click or 1-day view,,,0.01,,09/05/2024,30/04/2025,,,3.33333333,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,45-54,inactive,ad,3,3,1,7-day click or 1-day view,,,0.05,,09/05/2024,30/04/2025,,,16.66666667,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,18-24,active,ad,2,2,1,7-day click or 1-day view,,,0,,09/05/2024,30/04/2025,,,0,0,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,45-54,active,ad,1,1,1,7-day click or 1-day view,,,0.02,,09/05/2024,30/04/2025,,,20,0,30/03/2025,05/04/2025
