"Campaign name","Ad set name","Ad name",Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result Type",Results,"Amount spent (GBP)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Reporting starts","Reporting ends"
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,25-34,active,ad,156,200,1.28205128,"7-day click or 1-day view",,,1.1,,2024-05-09,2025-04-30,1,1.1,5.5,1.5,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,35-44,active,ad,128,172,1.34375,"7-day click or 1-day view",,,1.51,,2024-05-09,2025-04-30,,,8.77906977,0.58139535,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,18-24,active,ad,128,148,1.15625,"7-day click or 1-day view",,,1.01,,2024-05-09,2025-04-30,,,6.82432432,2.02702703,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,25-34,active,ad,88,142,1.61363636,"7-day click or 1-day view",,,1.03,,2024-05-09,2025-04-30,1,1.03,7.25352113,1.4084507,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,35-44,active,ad,94,128,1.36170213,"7-day click or 1-day view",,,1.15,,2024-05-09,2025-04-30,1,1.15,8.984375,0.78125,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,18-24,active,ad,44,93,2.11363636,"7-day click or 1-day view",,,0.81,,2024-05-09,2025-04-30,,,8.70967742,2.15053763,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,45-54,active,ad,68,76,1.11764706,"7-day click or 1-day view",,,0.9,,2024-05-09,2025-04-30,,,11.84210526,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,45-54,active,ad,52,52,1,"7-day click or 1-day view",,,0.49,,2024-05-09,2025-04-30,,,9.42307692,1.92307692,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,18-24,active,ad,30,42,1.4,"7-day click or 1-day view",,,0.21,,2024-05-09,2025-04-30,1,0.21,5,2.38095238,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,18-24,active,ad,33,33,1,"7-day click or 1-day view",,,0.14,,2024-05-09,2025-04-30,1,0.14,4.24242424,3.03030303,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,25-34,inactive,ad,33,33,1,"7-day click or 1-day view",,,0.26,,2024-05-09,2025-04-30,,,7.87878788,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,35-44,active,ad,31,32,1.03225806,"7-day click or 1-day view",,,0.37,,2024-05-09,2025-04-30,,,11.5625,0,2025-04-06,2025-04-12
