Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,25-34,active,ad,3402,4545,1.33597884,7-day click or 1-day view,quoteReceived,5,36.02,7.204,09/05/2024,30/04/2025,24,1.50083333,7.92519252,1.25412541,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,35-44,active,ad,3178,3968,1.24858402,7-day click or 1-day view,quoteReceived,3,41,13.66666667,09/05/2024,30/04/2025,28,1.46428571,10.33266129,1.15927419,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,35-44,active,ad,1972,2273,1.15263692,7-day click or 1-day view,quoteReceived,2,22.19,11.095,09/05/2024,30/04/2025,9,2.46555556,9.76242851,1.09986802,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,25-34,active,ad,1850,2044,1.10486486,7-day click or 1-day view,quoteReceived,2,15.13,7.565,09/05/2024,30/04/2025,7,2.16142857,7.40215264,1.12524462,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip2,female,35-44,inactive,ad,1561,1909,1.22293402,7-day click or 1-day view,quoteReceived,1,26.75,26.75,09/05/2024,30/04/2025,15,1.78333333,14.01257203,1.72865375,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,25-34,active,ad,1368,1705,1.24634503,7-day click or 1-day view,quoteReceived,2,13.91,6.955,09/05/2024,30/04/2025,7,1.98714286,8.15835777,1.05571848,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip2,female,25-34,inactive,ad,1406,1688,1.20056899,7-day click or 1-day view,quoteReceived,2,20.44,10.22,09/05/2024,30/04/2025,20,1.022,12.10900474,2.31042654,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,35-44,active,ad,1180,1454,1.23220339,7-day click or 1-day view,quoteReceived,2,14.49,7.245,09/05/2024,30/04/2025,18,0.805,9.9656121,2.2696011,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,35-44,active,ad,350,403,1.15142857,7-day click or 1-day view,quoteReceived,1,3.45,3.45,09/05/2024,30/04/2025,,,8.56079404,1.48883375,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,25-34,active,ad,388,395,1.01804124,7-day click or 1-day view,,,2.92,,09/05/2024,30/04/2025,1,2.92,7.39240506,1.7721519,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip2,male,35-44,inactive,ad,312,355,1.13782051,7-day click or 1-day view,,,4.72,,09/05/2024,30/04/2025,3,1.57333333,13.29577465,1.69014085,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip2,male,25-34,inactive,ad,275,314,1.14181818,7-day click or 1-day view,,,3.62,,09/05/2024,30/04/2025,,,11.52866242,1.27388535,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,18-24,active,ad,212,280,1.32075472,7-day click or 1-day view,,,1.61,,09/05/2024,30/04/2025,,,5.75,1.42857143,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,45-54,active,ad,214,259,1.21028037,7-day click or 1-day view,quoteReceived,1,2.78,2.78,09/05/2024,30/04/2025,4,0.695,10.73359073,2.7027027,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,35-44,inactive,ad,229,257,1.12227074,7-day click or 1-day view,,,2.32,,09/05/2024,30/04/2025,2,1.16,9.02723735,1.94552529,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,25-34,inactive,ad,215,253,1.17674419,7-day click or 1-day view,,,2.16,,09/05/2024,30/04/2025,,,8.53754941,1.58102767,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,18-24,active,ad,148,205,1.38513514,7-day click or 1-day view,,,1.64,,09/05/2024,30/04/2025,,,8,1.95121951,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,18-24,active,ad,144,165,1.14583333,7-day click or 1-day view,,,0.97,,09/05/2024,30/04/2025,,,5.87878788,0.60606061,13/04/2025,19/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,25-34,active,ad,114,150,1.31578947,7-day click or 1-day view,,,1.07,,09/05/2024,30/04/2025,2,0.535,7.13333333,1.33333333,13/04/2025,19/04/2025
